Aaliyah
Abigail 
Ada
Adela
Adele
Adéle
Adele 
Adèle 
Adelia
Adelina
Adina
Adna
Adolfina
Adriana
Agda
Agnes
Agneta
Aicha
Aida
Aina
Aina 
Aino
Aisha
Ajla
Alba
Albertina
Albina
Alea
Aleksandra
Alessia 
Alexandra
Alexia
Alexis 
Alexsandra
Aleyna 
Alfhild
Alfrida
Alia 
Alice
Alicia
Alida
Alida 
Alina
Aline
Alisa 
Alisha 
Alissa 
Aliya 
Allie 
Allis
Ally
Ally 
Alma
Alva
Alwa
Alvina
Alyssa
Amal
Amalia
Amanda
Amber 
Amela
Amelia
Amelie
Amélie 
Amie 
Amilia
Amina
Amira
Amna
Amy
Ana
Anastasia
Anastasija
Andrea
Andréa
Anette
Angela
Angelica
Angelika
Angelina
Anisa
Anita
Anja
Ann
Anna
Annabelle 
Anna-Carin
Anna-Greta
Anna-Karin
Anna-Lena
Anna-Lisa
Anna-Maria
Anna-Stina
Ann-Britt
Ann-Charlott
Ann-Charlotte
Ann-Christin
Ann-Christine
Anne
Anne-Charlotte
Anneli
Annelie
Anne-Marie
Annette
Anni
Annica
Annie
Annika
Annikki
Ann-Katrin
Ann-Kristin
Ann-Louise
Ann-Margret
Ann-Mari
Ann-Marie
Ann-Sofi
Ann-Sofie
Anny
Antonia
Anya 
Aprilia 
Ariana 
Arwen 
Arvida
Asma 
Asta
Astrid
Athena
Augusta
Aurora
Ava
Awa 
Avin
Axelia
Axelina
Aya
Ayla
Aylin
Azra 
Barbro
Bea
Beata
Beatrice
Beda
Belinda
Bella
Belle 
Benin 
Berfin
Berit
Bernhardina
Berta
Betty
Bianca
Billie 
Birgit
Birgitta
Blanka 
Blenda
Bodil
Bodil 
Boel
Bonnie 
Borghild
Brita
Britt
Britta
Britta 
Britt-Inger
Britt-Louise
Britt-Mari
Britt-Marie
Caisa
Cajsa
Camilla
Carin
Carina
Carita
Carla 
Carmen
Carola
Carolin
Carolina
Caroline
Casandra
Cassandra
Catarina
Catharina
Cathrine
Catrin
Cecilia
Celia 
Celina
Celine
Céline
Chanel 
Chanelle 
Charlie
Charlott
Charlotta
Charlotte
Chelsea 
Chloe 
Chloé 
Christel
Christin
Christina
Christine
Cindy
Clara
Clary
Claudia
Cleo 
Constance
Corinne 
Cornelia
Cristina
Daga
Dagmar
Dagny
Dagny 
Dahlia 
Daisy
Daisy 
Dalia
Dana
Dania
Daniela
Daniella
Daria 
Davida
Deborah
Denice
Denise
Denize
Desideria
Desirée
Destiny 
Diana
Dilan
Dilara
Dima
Dina
Disa
Donia
Donya
Dora
Doris
Doris 
Dorotea
E
Ebba
Eda
Edda 
Eden 
Edessa 
Edit
Edith
Edla
Eila 
Eira
Eivor
Ejvor
Ela 
Elaine
Eleanor 
Elena
Eleonor
Eleonor 
Eleonora
Elfrida
Eliana 
Elicia 
Elida
Elif
Elin
Elina
Eline 
Elinor
Elisa
Elisab
Elisab.
Elisabet
Elisabeth
Elise
Elisia 
Elissa 
Eliza
Elizabeth
Elize
Ella
Elle 
Ellen
Elli 
Ellie
Ellinor
Ellinore
Elly
Elma
Elmedina
Elna
Elona
Elsa
Else
Else-Marie
Elsi
Elsie
Elsie 
Elsy
Elva 
Elvi
Elvina 
Elvira
Elwira
Elvy
Ema
Embla
Emeli 
Emelia
Emelie
Emely
Emerentia
Emilia
Emilie
Emilija
Emily
Emina
Emma
Emmelie
Emmi
Emmie
Emmy
Emy
Engla
Enja 
Enya
Erica
Erika
Erina 
Erna
Erza
Esma 
Esmeralda
Esra
Estelle
Ester
Esther
Estrid
Estrid 
Ethel
Eufemia
Eugenia
Eva
Ewa
Eva-Britt
Eva-Lena
Eva-Lotta
Eva-Marie
Evelin
Evelina
Eveline
Evelyn
Evin
Evy
Fannie
Fanny
Farah 
Fatima
Fatma
Felicia
Felizia
Fia
Fideli
Filippa
Fiona
Flora 
Florence
Franka 
Fredrica
Fredrika
Freija 
Freja
Freya 
Freyja 
Frida
Frideborg
Gabriela 
Gabriella
Gabrielle
Gerd
Gerda
Gerda 
Gertie
Gertrud
Gina
Gisela
Gloria
Grace
Greta
Gry
Gudrun
Gull
Gullan
Gullbritt
Gull-Britt
Gulli
Gullvi
Gully
Gun
Gunborg
Gunbritt
Gun-Britt
Gunda
Gunhild
Gunilla
Gunn
Gunnel
Gunni
Gunvor
Gurli
Gustava
Gärd
Görel
Göta
Hafsa 
Hailey 
Hailie 
Haley 
Hana
Hanan
Hanin 
Hanna
Hannah
Harriet
Harriet 
Havanna 
Havin
Haylie
Hedda
Hedvig
Hedwig 
Heidi
Helen
Helén
Helena
Helene
Heléne
Helfrid
Helga
Helga 
Helin
Helmi
Helny
Henny
Henrietta
Henriette
Herta
Hiba
Hilda
Hilde 
Hildegard
Hildur
Hillevi
Hilma
Hjördis
Hoda
Hollie 
Holly 
Huda 
Hulda
Hulda 
Ida
Idun
Ilma
Ilona
Ilse 
Iman
Ina
Indra
Ines
Inez
Inga
Inga-Britt
Inga-Lena
Ingalill
Inga-Lill
Inga-Lisa
Inga-Maj
Ingbritt
Ing-Britt
Ingeborg
Ingegerd
Ingegärd
Ingela
Inger
Ing-Mari
Ing-Marie
Ingrid
Ingvor
Irem
Irene
Iréne
Iris
Irma
Isa
Isabel
Isabell
Isabella
Isabelle
Isadora 
Isis 
Isolde
Isra
Iza
Izabel 
Izabell
Izabella
Izabelle
Jackie 
Jacqueline
Jana 
Jane
Janet
Janina
Jasmin
Jasmina
Jasmine
Jeanette
Jenna
Jennie
Jennifer
Jenny
Jessica
Jessie
Jessika
Jill
Joanna
Johanna
Jolene 
Jolie 
Jolin 
Jolina
Joline
Joni 
Jonna
Josefin
Josefina
Josefine
Josephine
Joy 
Judit
Judit 
Judith
Juli
Julia
Juliana
Julie
Juliette
Juni
Junia 
Junie 
Juno 
Justina
Kaarina
Kajsa
Karin
Karina
Karla
Karola
Karolin
Karolina
Katarina
Katharina
Katja
Katrin
Katrina
Kayla 
Kellie 
Kelly
Kendra 
Kersti
Kerstin
Keyla 
Khadija
Kiara 
Kim
Kimberly
Kira 
Kitty 
Klara
Konstantia
Kornelia
Kristin
Kristina
Kristine
Laila
Lamar 
Lamis
Lana
Lara
Laura
Lava 
Lavin 
Layan
Layla 
Lea
Leah
Lee 
Leia
Leiah 
Leija 
Leila
Leja 
Lejla
Lena
Leona
Leonie 
Leonora
Leontina
Lexie 
Leya 
Leyla 
Li
Lia
Liana
Liisa
Lilian
Lilith 
Lilja 
Lill
Lillemor
Lillian
Lillian 
Lillie 
Lilly
Lilo 
Lily 
Lin
Lina
Linda
Line
Linn
Linnea
Linnéa
Lisa
Lisbet
Lisbeth
Liselott
Lise-Lott
Liselotte
Lise-Lotte
Lisen
Liv
Liva 
Livia
Liza
Lizette
Lizzie
Lo 
Lola
Lola 
Lorena
Lorin
Lotta
Lou 
Louisa
Louise
Lova
Lowa
Lovelia 
Lovina 
Lovis
Lovisa
Lucia
Lucy 
Luna
Lycka 
Lycke 
Lydia
Lykke 
M
Madeleine
Madelen
Madelene
Madicken
Magda
Magdalena
Maggie 
Magnhild
Maia
Maida
Maija
Maj
Maj 
Maja
Majbritt
Maj-Britt
Majken
Majlis
Maj-Lis
Majvor
Malak
Malin
Malou
Malva
Malvina
Manar
Manda
Maram
Marg.
Marg:a
Margaret
Margareta
Margareth
Margaretha
Margit
Margita
Margot
Margret
Margreta
Mari
Maria
Mariam
Mariana
Mariann
Mari-Ann
Marianne
Marie
Marielle
Marie-Louise
Mariette
Marika
Marina
Marion
Marit
Marita
Marja
Marjatta
Marlene
Marta
Martha
Martina
Marwa
Mary
Maryam
Maryama
Maryan 
Mathilda
Mathilde
Matilda
Matilde 
Maud
May
Maya
Medina
Meia 
Meija 
Meja
Melanie
Melek
Melina
Melinda
Melisa
Melissa
Melody
Merve
Meya 
Mia
Micaela
Michaela
Michelle
Mika
Mikaela
Mila 
Mildred
Milea 
Milena 
Miley 
Milia 
Milla
Millie
Milly 
Milou 
Mimmi
Mina
Minea 
Minella 
Minelle
Minja 
Minna
Minnah 
Minou 
Mira
Miranda
Mirella
Miriam
Mirjam
Mirna
Moa
Mollie
Molly
Mona
Monica
Monika
My
Myra 
Märit
Märta
Märtha
Nada
Nadia
Nadin
Nadine
Nadja
Naemi
Naemi 
Naima
Najma
Nancy
Nanna
Nanny
Naomi
Narin
Natali
Natalia
Natalie
Natasha
Nathalie
Nawal 
Nea
Neah 
Nejla
Nelia 
Nell
Nella
Nelli 
Nellie
Nelly
Nemi 
Nicole
Nicolina
Nike
Niki
Nikita
Nikki
Nikolina
Nilla 
Nina
Ninja 
Ninni
Nisa 
Noa 
Noelia 
Noelle
Nomi 
Noomi
Noor
Nor
Nora
Norah
Norea
Nour
Nova
Nowa 
Novalee
Novali 
Nova-Li 
Novalie 
Novelia 
Ofelia
Olga
Olivia
Oliwia
Ophelia 
Othilia
Otilia
Ottilia
Pamela
Patricia
Paula
Paulina
Pauline
Penny 
Perla 
Pernilla
Petra
Petronella
Philippa
Pia
Pixie 
Polly 
Ragna
Ragnhild
Rahaf
Rahma 
Rakel
Rama
Rania
Rawan 
Rayaan
Rayan
Rebecca
Rebecka
Regina
Renée
Rigmor
Rim
Rio 
Rita
Rojin
Ronja
Ronya 
Rosa
Rosanna
Rose
Rose-Marie
Rosita
Ros-Mari
Ros-Marie
Roxanna 
Runa
Rut
Ruth
Sabina
Sabirin 
Sabrin 
Sabrina
Safa
Safia 
Saga
Sally
Salma
Sama 
Samantha
Samira
Sana
Sandra
Sandy
Sanja 
Sanna
Sanne
Sara
Sarah
Sasha 
Savannah
Selin
Selina
Selma
Serafia
Shams
Shirin
Sibel
Sibylla
Sidra 
Sienna 
Sigbritt
Signe
Signhild
Sigrid
Siham 
Silje
Silvia
Simona
Simone
Siri
Siv
Siv 
Smilla
Sofi
Sofia
Sofie
Sol
Solbritt
Solveig
Solvig
Sonia
Sonja
Sophia
Sophie
Stella
Stephanie
Stina
Sumaya
Susann
Susanna
Susanne
Suzanne
Svea
Sylvia
Synnöve
Syster
Tamara
Tania 
Tanja
Tanya
Tara
Tea
Tekla
Telma
Teodora
Terese
Teresia
Tess
Thea
Thelise 
Thelma
Theodora
Therese
Therése
Theresia
Thilda
Thilde
Thindra
Thyra
Tiara
Tiffany
Tilda
Tilde
Tilia 
Tilja 
Tilly 
Tina
Tindra
Tintin
Tone
Tora
Torborg
Tova
Towa
Tove
Towe
Tua
Tuva
Tuwa 
Tuva-Li 
Tyra
Ulla
Ulla-Britt
Ulla-Britta
Ulrica
Ulrika
Uma
Unni 
Ursula
Valborg
Valencia 
Valentina
Valeria
Vanesa
Vanessa
Vanja
Vanna
Vega
Vendela
Wendela
Vendla
Vera
Wera
Veronica
Veronika
Whilma
Victoria
Vida 
Viktoria
Vilda
Wilda
Vilhelmina
Wilhelmina
Vilhelmina 
Vilja
Wilja 
Villemo
Vilma
Wilma
Viola
Vira 
Virginia
Vivan
Viveca
Viveka
Vivi
Vivian
Viviann
Vivi-Ann
Vivianne
Vivi-Anne
Yara 
Yasmin
Yasmina
Yasmine
Ylva
Yrsa
Yusra
Yvonne
Zahra
Zahraa
Zainab
Zandra
Zanna
Zara
Zeinab
Zelda 
Zeynep
Zilan
Zoe
Zoey 
Zuzanna
Åsa
Åse
Ängla
